observation_month,available_date,score,regime,composite_z,deficit_level_z,fiscal_impulse_z,deficit_pct_gdp,fiscal_impulse_pp,ttm_deficit_billions,gdp_observation_month,gdp_available_date,gdp_billions_saar
2017-11,2017-12-31,63.1661192337,SUPPORTIVE,0.7899671540,1.3293703567,0.2505639514,3.4792573888,0.4772890700,685.1560665775,2017-07,2017-10-31,19692.5950000000
2017-12,2018-01-31,58.7325404527,NEUTRAL,0.5239524272,1.0737422064,-0.0258373520,3.3978681309,0.3583617537,680.8338275075,2017-10,2018-01-31,20037.0880000000
2018-01,2018-02-28,58.3677853882,NEUTRAL,0.5020671233,1.0536425344,-0.0495082878,3.4079567073,0.3479881094,682.8552844426,2017-10,2018-01-31,20037.0880000000
2018-02,2018-03-31,62.5941641464,SUPPORTIVE,0.7556498488,1.2776247034,0.2336749942,3.5237604962,0.4667754231,706.0589915296,2017-10,2018-01-31,20037.0880000000
2018-03,2018-04-30,59.7603624939,NEUTRAL,0.5856217496,1.4598688265,-0.2886253273,3.6331652136,0.2527387532,738.5699160314,2018-01,2018-04-30,20328.5530000000
2018-04,2018-05-31,61.1837185770,SUPPORTIVE,0.6710231146,1.0407290948,0.3013171344,3.4766019008,0.4902410773,706.7428600128,2018-01,2018-04-30,20328.5530000000
2018-05,2018-06-30,68.1056449665,SUPPORTIVE,1.0863386980,1.6265668907,0.5461105053,3.7637371878,0.5910774793,765.1133090122,2018-01,2018-04-30,20328.5530000000
2018-06,2018-07-31,52.7993582379,NEUTRAL,0.1679614943,1.2843781863,-0.9484551978,3.6428808811,-0.0002573532,749.7381084050,2018-04,2018-07-31,20580.9120000000
2018-07,2018-08-31,66.4275538008,SUPPORTIVE,0.9856532280,1.5734003592,0.3979060969,3.8077222257,0.5240528129,783.6639604747,2018-04,2018-07-31,20580.9120000000
2018-08,2018-09-30,83.9981810206,SUPPORTIVE,2.0398908612,2.4367959702,1.6429857523,4.3249915707,1.0383528092,890.1227091755,2018-04,2018-07-31,20580.9120000000
2018-09,2018-10-31,59.5212222060,NEUTRAL,0.5712733324,1.1920265031,-0.0494798384,3.7454536081,0.3724223409,779.0067832304,2018-07,2018-10-31,20798.7300000000
2018-10,2018-11-30,63.7378091511,SUPPORTIVE,0.8242685491,1.4871760169,0.1613610812,3.9246814965,0.4550564741,816.2839078081,2018-07,2018-10-31,20798.7300000000
2018-11,2018-12-31,74.3752909849,SUPPORTIVE,1.4625174591,1.9797199646,0.9453149536,4.2437159740,0.7644585852,882.6390273893,2018-07,2018-10-31,20798.7300000000
2018-12,2019-01-31,72.4149018447,SUPPORTIVE,1.3448941107,1.7408270920,0.9489611294,4.1733931406,0.7755250097,872.9848265297,2018-10,2019-01-31,20917.8670000000
2019-01,2019-02-28,77.8319068311,SUPPORTIVE,1.6699144099,1.9643183292,1.3755104905,4.3672602021,0.9593034948,913.5376806266,2018-10,2019-01-31,20917.8670000000
2019-02,2019-03-31,77.0743861051,SUPPORTIVE,1.6244631663,1.9856970568,1.2632292758,4.4567964651,0.9330359689,932.2667570310,2018-10,2019-01-31,20917.8670000000
2019-03,2019-04-30,62.3716858385,SUPPORTIVE,0.7423011503,1.3605360027,0.1240662979,4.1231752822,0.4900100686,870.4682728750,2019-01,2019-04-30,21111.6000000000
2019-04,2019-05-31,73.9000160903,SUPPORTIVE,1.4340009654,1.7072130014,1.1607889295,4.3787248604,0.9021229596,924.4188776325,2019-01,2019-04-30,21111.6000000000
2019-05,2019-06-30,76.4955791073,SUPPORTIVE,1.5897347464,2.0464713596,1.1329981332,4.6675326627,0.9037954748,985.3908256136,2019-01,2019-04-30,21111.6000000000
2019-06,2019-07-31,65.6658346070,SUPPORTIVE,0.9399500764,1.4029494873,0.4769506656,4.2948491280,0.6519682469,919.0091536042,2019-04,2019-07-31,21397.9380000000
2019-07,2019-08-31,68.3643574219,SUPPORTIVE,1.1018614453,1.6434615054,0.5602613852,4.4950112956,0.6872890699,961.8397301271,2019-04,2019-07-31,21397.9380000000
2019-08,2019-09-30,54.5314559818,NEUTRAL,0.2718873589,1.4880874427,-0.9443127249,4.4305042550,0.1055126843,948.0365535756,2019-04,2019-07-31,21397.9380000000
2019-09,2019-10-31,70.0705517648,SUPPORTIVE,1.2042331059,1.5794006494,0.8290655624,4.5327492425,0.7872956344,984.3849039911,2019-07,2019-10-31,21717.1710000000
2019-10,2019-11-30,70.7464826563,SUPPORTIVE,1.2447889594,1.7334494495,0.7561284692,4.6891988205,0.7645173241,1018.3613263802,2019-07,2019-10-31,21717.1710000000
2019-11,2019-12-31,63.7380385643,SUPPORTIVE,0.8242823139,1.6877977696,-0.0392331419,4.7073215173,0.4636055434,1022.2970634381,2019-07,2019-10-31,21717.1710000000
2019-12,2020-01-31,63.1948649425,SUPPORTIVE,0.7916918965,1.5620694480,0.0213143451,4.6597371563,0.4863440158,1022.0302621255,2019-10,2020-01-31,21933.2170000000
2020-01,2020-02-29,64.6355673241,SUPPORTIVE,0.8781340394,1.7503426557,0.0059254232,4.8479272728,0.4806670707,1063.3064087441,2019-10,2020-01-31,21933.2170000000
2020-02,2020-03-31,62.2655140982,SUPPORTIVE,0.7359308459,1.6909803650,-0.2191186732,4.8541186356,0.3973221705,1064.6643737919,2019-10,2020-01-31,21933.2170000000
2020-03,2020-04-30,66.4688821754,SUPPORTIVE,0.9881329305,1.5224825481,0.4537833129,4.7668310781,0.6436557959,1036.8447728560,2020-01,2020-04-30,21751.2380000000
