month,available_date,gbm_usd_yoy_pct,gbm_fxn_yoy_pct,fx_effect_pp,usd_z,usd_score,fxn_z,fxn_score
2015-01,2015-02-28,-0.9237042904313684,6.247725241733682,-7.1714295321650505,,,,
2015-02,2015-03-31,-1.2785103916357152,6.847902181146177,-8.126412572781891,,,,
2015-03,2015-04-30,-2.329618641150985,6.726221895146827,-9.055840536297811,,,,
2015-04,2015-05-31,-2.09039137110923,6.3896288923967095,-8.480020263505939,,,,
2015-05,2015-06-30,-1.1116917606442116,6.619813976691442,-7.731505737335654,,,,
2015-06,2015-07-31,-0.903683590847485,6.883168158388052,-7.786851749235537,,,,
2015-07,2015-08-31,-1.0372391062040986,7.510874153494805,-8.548113259698903,,,,
2015-08,2015-09-30,-1.1764617913977418,7.496854882785123,-8.673316674182864,,,,
2015-09,2015-10-31,0.2665549670438154,7.411105073114238,-7.144550106070422,,,,
2015-10,2015-11-30,1.1877303908811758,7.634517167825447,-6.446786776944271,,,,
2015-11,2015-12-31,1.5267576913303078,7.82762188441581,-6.300864193085502,,,,
2015-12,2016-01-31,2.3031976121442117,7.651939300648082,-5.34874168850387,,,,
2016-01,2016-02-29,3.6176920457617405,8.11380932495886,-4.496117279197119,,,,
2016-02,2016-03-31,5.268349028248833,7.8929241582838,-2.624575130034967,,,,
2016-03,2016-04-30,7.376235636539227,8.008382427194043,-0.6321467906548159,,,,
2016-04,2016-05-31,7.98000455024202,7.854737404738959,0.12526714550306117,,,,
2016-05,2016-06-30,6.632789492706546,7.574311169664098,-0.9415216769575521,,,,
2016-06,2016-07-31,6.876171955965018,7.705121314133945,-0.8289493581689271,,,,
2016-07,2016-08-31,5.87509600856212,7.176783808919529,-1.301687800357409,,,,
2016-08,2016-09-30,7.927151322548955,7.6879739343388795,0.2391773882100754,,,,
2016-09,2016-10-31,7.713190060698693,7.804884448081851,-0.09169438738315794,,,,
2016-10,2016-11-30,6.1965052477528815,7.860222345189041,-1.6637170974361597,,,,
2016-11,2016-12-31,5.854903131310417,7.843668090672207,-1.9887649593617898,,,,
2016-12,2017-01-31,4.062718332443924,7.726305292991637,-3.663586960547713,,,,
2017-01,2017-02-28,5.45325239166241,7.847536121582887,-2.3942837299204767,,,,
2017-02,2017-03-31,4.759035087077801,7.667389552293177,-2.9083544652153765,,,,
2017-03,2017-04-30,3.843244695811547,7.687289660086048,-3.844044964274501,,,,
2017-04,2017-05-31,3.1782123942535865,7.583756518991953,-4.405544124738366,,,,
2017-05,2017-06-30,3.4875554887464126,7.153934933782989,-3.6663794450365765,,,,
2017-06,2017-07-31,4.46747181624842,7.030730605001573,-2.5632587887531537,,,,
