"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"V41552796","M2 (gross) (Seasonally adjusted)","M3 (gross) - M2 (gross)"

"OBSERVATIONS"
"date","V41552796"
"2014-01-01","1264384"
"2014-02-01","1263183"
"2014-03-01","1267833"
"2014-04-01","1268818"
"2014-05-01","1274446"
"2014-06-01","1278517"
"2014-07-01","1283102"
"2014-08-01","1292677"
"2014-09-01","1302096"
"2014-10-01","1308099"
"2014-11-01","1309623"
"2014-12-01","1314444"
"2015-01-01","1319700"
"2015-02-01","1325405"
"2015-03-01","1330652"
"2015-04-01","1334523"
"2015-05-01","1336060"
"2015-06-01","1343616"
"2015-07-01","1358986"
"2015-08-01","1369514"
"2015-09-01","1379701"
"2015-10-01","1381366"
"2015-11-01","1389789"
"2015-12-01","1392942"
"2016-01-01","1405943"
"2016-02-01","1415756"
"2016-03-01","1419961"
"2016-04-01","1426858"
"2016-05-01","1434558"
"2016-06-01","1444972"
"2016-07-01","1463413"
"2016-08-01","1473328"
"2016-09-01","1483977"
"2016-10-01","1495146"
"2016-11-01","1506211"
"2016-12-01","1508490"
"2017-01-01","1525883"
"2017-02-01","1523897"
"2017-03-01","1534473"
"2017-04-01","1546708"
"2017-05-01","1560513"
"2017-06-01","1563292"
"2017-07-01","1564725"
"2017-08-01","1560726"
"2017-09-01","1567799"
"2017-10-01","1574650"
"2017-11-01","1580032"
"2017-12-01","1597259"
"2018-01-01","1598195"
"2018-02-01","1600361"
"2018-03-01","1607651"
"2018-04-01","1609783"
"2018-05-01","1611491"
"2018-06-01","1620043"
"2018-07-01","1624335"
"2018-08-01","1631722"
"2018-09-01","1642131"
"2018-10-01","1649961"
"2018-11-01","1660651"
"2018-12-01","1682962"
"2019-01-01","1686469"
"2019-02-01","1691036"
"2019-03-01","1704927"
"2019-04-01","1719384"
"2019-05-01","1729583"
"2019-06-01","1735698"
"2019-07-01","1746625"
"2019-08-01","1759340"
"2019-09-01","1772508"
"2019-10-01","1785486"
"2019-11-01","1793161"
"2019-12-01","1814695"
"2020-01-01","1816665"
"2020-02-01","1824070"
"2020-03-01","1866952"
"2020-04-01","1932703"
"2020-05-01","1975632"
"2020-06-01","2015800"
"2020-07-01","2039859"
"2020-08-01","2069852"
"2020-09-01","2094296"
"2020-10-01","2111456"
"2020-11-01","2127631"
"2020-12-01","2138992"
"2021-01-01","2152229"
"2021-02-01","2173123"
"2021-03-01","2183991"
"2021-04-01","2213636"
"2021-05-01","2238984"
"2021-06-01","2251592"
"2021-07-01","2274755"
"2021-08-01","2291309"
"2021-09-01","2294878"
"2021-10-01","2300826"
"2021-11-01","2315092"
"2021-12-01","2326145"
"2022-01-01","2332768"
"2022-02-01","2345303"
"2022-03-01","2353934"
"2022-04-01","2358293"
"2022-05-01","2367390"
"2022-06-01","2376979"
"2022-07-01","2381915"
"2022-08-01","2375299"
"2022-09-01","2392512"
"2022-10-01","2392995"
"2022-11-01","2392769"
"2022-12-01","2409477"
"2023-01-01","2422252"
"2023-02-01","2428535"
"2023-03-01","2428496"
"2023-04-01","2434278"
"2023-05-01","2430006"
"2023-06-01","2431112"
"2023-07-01","2443944"
"2023-08-01","2458165"
"2023-09-01","2470354"
"2023-10-01","2484738"
"2023-11-01","2498668"
"2023-12-01","2503940"
"2024-01-01","2506037"
"2024-02-01","2519292"
"2024-03-01","2536535"
"2024-04-01","2546994"
"2024-05-01","2566517"
"2024-06-01","2586139"
"2024-07-01","2594161"
"2024-08-01","2598608"
"2024-09-01","2604767"
"2024-10-01","2635021"
"2024-11-01","2642645"
"2024-12-01","2656495"
"2025-01-01","2678889"
"2025-02-01","2688472"
"2025-03-01","2696626"
"2025-04-01","2702921"
"2025-05-01","2714114"
"2025-06-01","2721661"
"2025-07-01","2720770"
"2025-08-01","2739233"
"2025-09-01","2739101"
"2025-10-01","2769971"
"2025-11-01","2775960"
"2025-12-01","2781496"
"2026-01-01","2782710"
"2026-02-01","2789306"
"2026-03-01","2798320"
"2026-04-01","2817617"
"2026-05-01","2831790"
"2026-06-01","2841080"
"2026-07-01","2851926"
