DATE,LPMAUYN
31 Jan 2014,2129542
28 Feb 2014,2147860
31 Mar 2014,2115481
30 Apr 2014,2106005
31 May 2014,2099913
30 Jun 2014,2111608
31 Jul 2014,2105646
31 Aug 2014,2110420
30 Sep 2014,2110719
31 Oct 2014,2094735
30 Nov 2014,2095182
31 Dec 2014,2103821
31 Jan 2015,2090808
28 Feb 2015,2086664
31 Mar 2015,2110278
30 Apr 2015,2110955
31 May 2015,2120731
30 Jun 2015,2110798
31 Jul 2015,2122241
31 Aug 2015,2106861
30 Sep 2015,2098766
31 Oct 2015,2103278
30 Nov 2015,2113143
31 Dec 2015,2115684
31 Jan 2016,2117448
29 Feb 2016,2135652
31 Mar 2016,2134562
30 Apr 2016,2130521
31 May 2016,2154885
30 Jun 2016,2188538
31 Jul 2016,2208315
31 Aug 2016,2223971
30 Sep 2016,2228340
31 Oct 2016,2245639
30 Nov 2016,2252313
31 Dec 2016,2247258
31 Jan 2017,2263848
28 Feb 2017,2261602
31 Mar 2017,2292125
30 Apr 2017,2316378
31 May 2017,2311904
30 Jun 2017,2312980
31 Jul 2017,2309242
31 Aug 2017,2329257
30 Sep 2017,2355720
31 Oct 2017,2359638
30 Nov 2017,2361882
31 Dec 2017,2356236
31 Jan 2018,2385449
28 Feb 2018,2377305
31 Mar 2018,2359053
30 Apr 2018,2361593
31 May 2018,2377249
30 Jun 2018,2374059
31 Jul 2018,2377914
31 Aug 2018,2378633
30 Sep 2018,2383740
31 Oct 2018,2392589
30 Nov 2018,2391196
31 Dec 2018,2412085
31 Jan 2019,2407189
28 Feb 2019,2414146
31 Mar 2019,2416445
30 Apr 2019,2432826
31 May 2019,2430121
30 Jun 2019,2429450
31 Jul 2019,2440457
31 Aug 2019,2460614
30 Sep 2019,2476405
31 Oct 2019,2479161
30 Nov 2019,2500597
31 Dec 2019,2502446
31 Jan 2020,2524047
29 Feb 2020,2534856
31 Mar 2020,2617014
30 Apr 2020,2667604
31 May 2020,2721559
30 Jun 2020,2747906
31 Jul 2020,2772583
31 Aug 2020,2763529
30 Sep 2020,2782855
31 Oct 2020,2773389
30 Nov 2020,2793738
31 Dec 2020,2809501
31 Jan 2021,2832629
28 Feb 2021,2852896
31 Mar 2021,2869492
30 Apr 2021,2882746
31 May 2021,2892954
30 Jun 2021,2912575
31 Jul 2021,2912011
31 Aug 2021,2930683
30 Sep 2021,2948413
31 Oct 2021,2967623
30 Nov 2021,2986856
31 Dec 2021,2985609
31 Jan 2022,2990792
28 Feb 2022,3022135
31 Mar 2022,3021599
30 Apr 2022,3022629
31 May 2022,3038415
30 Jun 2022,3028052
31 Jul 2022,3040843
31 Aug 2022,3047413
30 Sep 2022,3108534
31 Oct 2022,3111034
30 Nov 2022,3062894
31 Dec 2022,3032733
31 Jan 2023,3072703
28 Feb 2023,3052802
31 Mar 2023,3028728
30 Apr 2023,3028756
31 May 2023,3034987
30 Jun 2023,3029559
31 Jul 2023,3009210
31 Aug 2023,3022573
30 Sep 2023,2981445
31 Oct 2023,2989896
30 Nov 2023,2989803
31 Dec 2023,3001436
31 Jan 2024,3001453
29 Feb 2024,3012725
31 Mar 2024,3034386
30 Apr 2024,3042994
31 May 2024,3040333
30 Jun 2024,3055377
31 Jul 2024,3068961
31 Aug 2024,3068497
30 Sep 2024,3084968
31 Oct 2024,3081306
30 Nov 2024,3083833
31 Dec 2024,3084092
31 Jan 2025,3131626
28 Feb 2025,3133640
31 Mar 2025,3137215
30 Apr 2025,3139268
31 May 2025,3147244
30 Jun 2025,3153557
31 Jul 2025,3158917
31 Aug 2025,3173725
30 Sep 2025,3192055
31 Oct 2025,3185770
30 Nov 2025,3211637
31 Dec 2025,3225587
31 Jan 2026,3224160
28 Feb 2026,3244966
31 Mar 2026,3272537
30 Apr 2026,3275444
31 May 2026,3281693
30 Jun 2026,3308802
